,close,open,high,low,vol,pct_chg
2018-10-17,221.19,222.3,222.64,219.34,22.89M,-0.43%
2018-10-16,222.15,218.93,222.99,216.76,29.18M,2.20%
2018-10-15,217.36,221.16,221.83,217.27,30.79M,-2.14%
2018-10-12,222.11,220.42,222.88,216.84,40.34M,3.57%
2018-10-11,214.45,214.52,219.5,212.32,53.12M,-0.88%
2018-10-10,216.36,225.46,226.35,216.05,41.99M,-4.63%
2018-10-09,226.87,223.64,227.27,222.25,26.89M,1.39%
2018-10-08,223.77,222.21,224.8,220.2,29.66M,-0.23%
2018-10-05,224.29,227.96,228.41,220.58,33.58M,-1.62%
2018-10-04,227.99,230.78,232.35,226.73,32.04M,-1.76%
2018-10-03,232.07,230.05,233.47,229.78,28.65M,1.22%
2018-10-02,229.28,227.25,230.0,226.63,24.79M,0.89%
2018-10-01,227.26,227.95,229.42,226.35,23.60M,0.67%
2018-09-28,225.74,224.79,225.84,224.02,22.93M,0.35%
2018-09-27,224.95,223.82,226.44,223.54,30.18M,2.06%
2018-09-26,220.42,221.0,223.75,219.76,23.98M,-0.80%
2018-09-25,222.19,219.75,222.82,219.7,24.55M,0.63%
2018-09-24,220.79,216.82,221.26,216.63,27.69M,1.44%
2018-09-21,217.66,220.78,221.36,217.29,96.25M,-1.08%
2018-09-20,220.03,220.24,222.28,219.15,26.61M,0.76%
2018-09-19,218.37,218.5,219.62,215.3,27.12M,0.06%
2018-09-18,218.24,217.79,221.85,217.12,31.57M,0.17%
2018-09-17,217.88,222.15,222.95,217.27,37.20M,-2.66%
2018-09-14,223.84,225.75,226.84,222.52,32.00M,-1.14%
2018-09-13,226.41,223.52,228.35,222.57,41.71M,2.42%
2018-09-12,221.07,224.94,225.0,219.84,49.28M,-1.24%
2018-09-11,223.85,218.01,224.3,216.56,35.75M,2.53%
2018-09-10,218.33,220.95,221.85,216.47,39.52M,-1.34%
2018-09-07,221.3,221.85,225.37,220.71,37.62M,-0.81%
2018-09-06,223.1,226.23,227.35,221.3,34.29M,-1.66%
2018-09-05,226.87,228.99,229.67,225.1,33.33M,-0.65%
2018-09-04,228.36,228.41,229.18,226.63,27.39M,0.32%
2018-08-31,227.63,226.51,228.87,226.0,43.34M,1.16%
2018-08-30,225.03,223.25,228.26,222.4,48.79M,0.92%
2018-08-29,222.98,220.15,223.49,219.41,27.25M,1.49%
2018-08-28,219.7,219.01,220.54,218.92,22.78M,0.81%
2018-08-27,217.94,217.15,218.74,216.33,20.53M,0.82%
2018-08-24,216.16,216.6,216.9,215.11,18.48M,0.31%
2018-08-23,215.49,214.65,217.05,214.6,18.88M,0.20%
2018-08-22,215.05,214.1,216.36,213.84,19.02M,0.00%
2018-08-21,215.04,216.8,217.19,214.03,26.16M,-0.19%
2018-08-20,215.46,218.1,219.18,215.11,30.29M,-0.97%
2018-08-17,217.58,213.44,217.95,213.16,35.43M,2.00%
2018-08-16,213.32,211.75,213.81,211.47,28.50M,1.46%
2018-08-15,210.24,209.22,210.74,208.33,28.81M,0.23%
