Day,Date,Open,High,Low,Close,Volume
Mon,9/17/18,286.57,286.61,284.8,285.11,69257056
Fri,9/14/18,286.8,287.01,285.76,286.63,55897480
Thu,9/13/18,286.07,286.78,285.75,286.58,51791776
Wed,9/12/18,284.83,285.56,284.01,284.89,60698588
Tue,9/11/18,283.17,285.31,282.78,284.82,51280568
Mon,9/10/18,284.52,284.81,283.67,283.89,50956232
Fri,9/7/18,282.78,284.48,282.52,283.39,74616224
Thu,9/6/18,284.92,285.26,282.8,283.95,66888228
Wed,9/5/18,285.18,285.4,283.68,284.8,73527920
Tue,9/4/18,285.6,285.97,284.46,285.57,58449296
Fri,8/31/18,285.6,286.56,285.06,286.06,67122632
Thu,8/30/18,286.68,287.1,285.39,286.05,62138392
Wed,8/29/18,285.92,287.47,285.65,287.22,62398204
Tue,8/28/18,286.05,286.17,285.17,285.68,47640300
Mon,8/27/18,284.63,285.66,284.46,285.54,57919560
Fri,8/24/18,282.25,283.46,282.19,283.3,58340744
Thu,8/23/18,281.79,282.74,281.26,281.61,49935248
Wed,8/22/18,281.7,282.57,281.4,281.98,45661216
Tue,8/21/18,282.06,283.11,281.53,282.15,68270568
Mon,8/20/18,281.39,281.79,280.89,281.49,40398392
Fri,8/17/18,279.68,281.38,279.23,280.89,66592520
Thu,8/16/18,279.25,280.87,279.22,279.91,71006520
Wed,8/15/18,278.25,278.41,276.06,277.66,104453184
Tue,8/14/18,278.78,280.01,278.35,279.75,44492820
Mon,8/13/18,279.32,280,277.65,277.97,66708648
Fri,8/10/18,279.3,279.9,278.23,279.02,78220160
Thu,8/9/18,281.35,281.79,280.75,280.9,36247160
Wed,8/8/18,281.22,281.73,280.77,281.28,42739700
Tue,8/7/18,281.22,281.83,281.07,281.4,43837856
Mon,8/6/18,279.49,280.82,279.06,280.48,39985752
Fri,8/3/18,278.4,279.51,278.2,279.45,54736000
Thu,8/2/18,275.3,278.45,275.08,278.26,64367864
Wed,8/1/18,277.44,278,276.03,276.75,54652724
Tue,7/31/18,276.7,277.89,276.28,277.21,69588352
Mon,7/30/18,277.39,277.57,275.27,275.86,64688704
Fri,7/27/18,279.56,279.67,276.28,277.3,77922944
Thu,7/26/18,279.06,279.95,278.95,279.2,58779252
Wed,7/25/18,277.21,280.21,277.17,279.86,80053864
Tue,7/24/18,277.67,278.43,276.53,277.49,69036728
Mon,7/23/18,275.36,276.33,274.98,276.1,47745940
Fri,7/20/18,275.68,276.38,275.41,275.59,83595472
Thu,7/19/18,276.21,276.63,275.37,275.9,62323720
Wed,7/18/18,276.46,277.07,275.96,276.95,45255408
