Day,Date,Open,High,Low,Close,Volume
Tue,2/19/19,75.03,75.47,74.79,75.23,8040841
Fri,2/15/19,74.72,75.27,74.56,75.26,9648483
Thu,2/14/19,74.18,74.57,73.99,74.26,11771187
Wed,2/13/19,74.44,74.84,74.24,74.61,8181101
Tue,2/12/19,73.6,74.33,73.45,74.17,8961083
Mon,2/11/19,72.86,73.22,72.82,73.04,7955397
Fri,2/8/19,72.08,72.65,71.74,72.65,16069066
Thu,2/7/19,72.57,72.96,71.98,72.54,15701293
Wed,2/6/19,72.9,73.39,72.79,73.04,15647231
Tue,2/5/19,72.51,73.06,72.28,73.02,9131411
Mon,2/4/19,71.57,72.43,71.38,72.39,7732701
Fri,2/1/19,71.57,72,71.27,71.47,11913180
Thu,1/31/19,71.18,71.7,70.89,71.36,13946987
Wed,1/30/19,70.68,71.38,69.89,71.05,16989758
Tue,1/29/19,69.3,70.09,69.28,69.96,12455370
Mon,1/28/19,68.67,69.04,68.39,69,13219664
Fri,1/25/19,69.45,69.96,69.26,69.67,13141195
Thu,1/24/19,68.69,69.1,68.41,68.79,10421519
Wed,1/23/19,68.79,69.15,67.68,68.45,13320111
Tue,1/22/19,69.19,69.21,67.89,68.35,16027047
Fri,1/18/19,69.08,70.04,68.87,69.79,20135526
Thu,1/17/19,67.05,68.86,66.96,68.49,23054616
Wed,1/16/19,67.35,67.67,67.23,67.33,12099187
Tue,1/15/19,67.41,67.7,66.88,67.26,12589557
Mon,1/14/19,66.98,67.77,66.78,67.47,10163685
Fri,1/11/19,67.09,67.52,66.85,67.48,10752858
Thu,1/10/19,66.41,67.63,66.11,67.55,8951757
Wed,1/9/19,66.46,66.95,66.22,66.65,10094546
Tue,1/8/19,66.2,66.61,65.57,66.2,23202656
Mon,1/7/19,65.05,65.73,64.43,65.3,15280658
Fri,1/4/19,63.33,64.9,63.33,64.78,19998170
Thu,1/3/19,63.92,63.92,62.13,62.41,26125864
Wed,1/2/19,63.1,64.42,62.73,64.37,14772130
Mon,12/31/18,63.78,64.17,63.37,64.04,10126928
Fri,12/28/18,63.8,64.33,63.19,63.4,16008912
Thu,12/27/18,61.86,63.6,61.18,63.57,14061197
Wed,12/26/18,60.23,62.86,59.58,62.79,17650104
Mon,12/24/18,61.32,61.6,59.94,59.99,15891235
Fri,12/21/18,63.25,63.85,61.75,61.89,28909804
Thu,12/20/18,63.84,64.41,62.38,63.08,26017886
